,id,address_v4,address_v6,asn_v4,asn_v6,prefix_v4,prefix_v6,is_anchor,is_public,status,status_since,first_connected,total_uptime,tags,country_code,latitude,longitude,day,probe,status_name,continent
220,23116,114.150.198.144,2400:4051:41a4:1200:eade:27ff:fe69:c91e,4713.0,4713.0,114.144.0.0/12,2400:4000::/22,False,True,1,1707129786,1431019574.0,231900037,"{'system-ipv4-capable', 'native-ipv6', 'system-ipv6-capable', 'system-resolves-a-correctly', 'system-ipv4-stable-90d', 'ipv4', 'system-ipv4-stable-30d', 'home', 'system-v3', 'system-ipv4-rfc1918', 'ipv6', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-stable-30d', 'probe-v3', 'system-ipv6-works', 'nat', 'system-ipv4-works', 'fibre', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-90d'}",JP,35.3505,139.4675,20240209,https://atlas.ripe.net/api/v2/probes/23116/,Connected,AS
221,33013,194.50.233.210,,9009.0,,194.50.233.0/24,,False,True,1,1707291179,1504778846.0,167652232,"{'dsl', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'ipv4', 'home'}",IR,36.8085,50.8875,20240209,https://atlas.ripe.net/api/v2/probes/33013/,Connected,AS
222,17826,179.26.105.185,2800:a4:1379:f6aa:6666:b3ff:feb0:e0ac,6057.0,6057.0,179.26.96.0/20,2800:a4:1200::/39,False,True,1,1707499081,1404669748.0,260906154,"{'system-ipv4-capable', 'native-ipv6', 'system-ipv6-capable', 'ftth', 'system-resolves-a-correctly', 'system-ipv4-stable-90d', 'ipv4', 'system-ipv4-stable-30d', 'home', 'system-v3', 'ipv6', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-stable-30d', 'system-ipv6-works', 'nat', 'system-ipv4-works', 'fibre', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-90d'}",UY,-34.8995,-56.1515,20240209,https://atlas.ripe.net/api/v2/probes/17826/,Connected,SA
223,54492,182.155.166.142,,17809.0,,182.155.160.0/19,,False,True,1,1706796087,1579580171.0,27153707,"{'fibre', 'system-resolves-a-correctly', 'no-ipv6', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'isp', 'system-ipv4-stable-1d', 'system-v4', 'ipv4', 'native-ipv4', 'system-ipv4-works', 'home'}",TW,24.1685,120.6615,20240209,https://atlas.ripe.net/api/v2/probes/54492/,Connected,AS
224,33512,112.78.163.4,,17451.0,,112.78.160.0/21,,False,True,1,1707491987,1501247880.0,189679915,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-v3', 'system-ipv4-rfc1918', 'iwantbcp38compliancetesting', 'system-ipv4-stable-1d', 'ipv6', 'system-ipv4-capable', 'ipv4', 'dual-stack', 'ipv6-tunnel', 'system-ipv4-works', 'home'}",ID,-6.2215,106.8275,20240209,https://atlas.ripe.net/api/v2/probes/33512/,Connected,AS
225,19107,133.204.27.0,2404:7a86:7b00:6e00:c24a:ff:fecc:8ac2,2518.0,2518.0,133.204.0.0/16,2404:7a80::/29,False,True,1,1695434304,1426826011.0,205195855,"{'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-v3', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv4-rfc1918', 'system-ipv6-stable-30d', 'system-ipv6-stable-90d', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-ipv6-capable', 'home', 'ftth'}",JP,31.8005,131.4675,20240209,https://atlas.ripe.net/api/v2/probes/19107/,Connected,AS
226,1006965,31.192.210.81,,51559.0,,31.192.210.0/24,,False,True,1,1707190288,1702465230.0,5047891,"{'fibre', 'system-resolves-a-correctly', 'system-software', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'gpon', 'native-ipv4', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home'}",TR,38.4395,27.1805,20240209,https://atlas.ripe.net/api/v2/probes/1006965/,Connected,AS
227,52944,95.59.194.127,,9198.0,,95.59.192.0/22,,False,True,1,1707481742,1577076019.0,117991345,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-v4', 'ipv4', 'nat', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home', 'ftth'}",KZ,52.2895,76.9695,20240209,https://atlas.ripe.net/api/v2/probes/52944/,Connected,AS
228,1000179,126.224.87.18,,17676.0,,126.224.0.0/16,,False,True,1,1706627323,1581687141.0,83813321,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'native-ipv6', 'ipv6', 'ipv4', 'raspberry-pi', 'dual-stack', 'nat', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home', 'system-software', 'ftth'}",JP,35.6715,139.6805,20240209,https://atlas.ripe.net/api/v2/probes/1000179/,Connected,AS
229,54492,182.155.166.142,,17809.0,,182.155.160.0/19,,False,True,1,1706796087,1579580171.0,27153707,"{'fibre', 'system-resolves-a-correctly', 'no-ipv6', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'isp', 'system-ipv4-stable-1d', 'system-v4', 'ipv4', 'native-ipv4', 'system-ipv4-works', 'home'}",TW,24.1685,120.6615,20240209,https://atlas.ripe.net/api/v2/probes/54492/,Connected,AS
