"No.","Time","Source","Destination","Protocol","Length","Info"
"2496","57.587671","TpLinkTechno_1a:8f:ea","36:1f:69:b2:e6:63","802.11","397","Probe Response, SN=2565, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2592","60.084047","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2590, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2593","60.087361","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2591, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2595","60.090802","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2592, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2608","60.416614","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2596, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2611","60.422274","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2598, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"2612","60.425399","TpLinkTechno_1a:8f:ea","AzureWaveTec_9c:2a:f3","802.11","397","Probe Response, SN=2599, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"3793","76.974158","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2761, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"3795","76.977583","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2762, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"3796","76.980750","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2763, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"3799","76.995753","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2764, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"3801","76.999231","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2765, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"3802","77.002306","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2766, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"4200","87.629284","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2871, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"4201","87.632449","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2872, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"4202","87.635507","TpLinkTechno_1a:8f:ea","LiteonTechno_13:23:c1","802.11","397","Probe Response, SN=2873, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"4433","96.503567","TpLinkTechno_1a:8f:ea","3a:be:16:80:44:61","802.11","397","Probe Response, SN=2961, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"4435","96.507022","TpLinkTechno_1a:8f:ea","3a:be:16:80:44:61","802.11","397","Probe Response, SN=2962, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"4437","96.510494","TpLinkTechno_1a:8f:ea","3a:be:16:80:44:61","802.11","397","Probe Response, SN=2963, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"4440","96.524299","TpLinkTechno_1a:8f:ea","3a:be:16:80:44:61","802.11","397","Probe Response, SN=2964, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
"4441","96.527593","TpLinkTechno_1a:8f:ea","3a:be:16:80:44:61","802.11","397","Probe Response, SN=2965, FN=0, Flags=........C, BI=100, SSID=""INGRAM-pokoj"""
